Country Name,Country Code,Indicator Code,year,value
Cabo Verde,CPV,IT.NET.BBND.P2,2020,4.82611491823059
Cabo Verde,CPV,NY.GDP.PCAP.PP.CD,2020,6852.576699303546
Cabo Verde,CPV,TX.VAL.TECH.MF.ZS,2020,0.7602045225231586
Cabo Verde,CPV,IT.CEL.SETS.P2,2020,105.838590655535
Cabo Verde,CPV,GOV_WGI_PV_EST,2020,0.839032
Cabo Verde,CPV,GOV_WGI_RL_EST,2020,0.6687901
Cabo Verde,CPV,SE.TER.ENRR,2020,
Cabo Verde,CPV,IP.JRN.ARTC.SC,2020,19.4
Cambodia,KHM,GOV_WGI_CC_EST,2020,-1.1175106
Cambodia,KHM,IT.NET.BBND.P2,2020,1.39770029835926
Cambodia,KHM,NY.GDP.PCAP.PP.CD,2020,5942.453803739287
Cambodia,KHM,TX.VAL.TECH.MF.ZS,2020,2.2830748424057363
Cambodia,KHM,IT.CEL.SETS.P2,2020,126.075894769858
Cambodia,KHM,GOV_WGI_PV_EST,2020,-0.2401873
Cambodia,KHM,GOV_WGI_RL_EST,2020,-1.1462953
Cambodia,KHM,SE.TER.ENRR,2020,13.8767573747135
Cambodia,KHM,IP.JRN.ARTC.SC,2020,154.12
Cameroon,CMR,GOV_WGI_CC_EST,2020,-1.057706
Cameroon,CMR,IT.NET.BBND.P2,2020,2.75682417749367
Cameroon,CMR,NY.GDP.PCAP.PP.CD,2020,4365.447041283924
Cameroon,CMR,TX.VAL.TECH.MF.ZS,2020,3.0838224241557235
Cameroon,CMR,IT.CEL.SETS.P2,2020,85.2721639882676
Cameroon,CMR,GOV_WGI_PV_EST,2020,-1.6215792
Cameroon,CMR,GOV_WGI_RL_EST,2020,-1.2272568
Cameroon,CMR,SE.TER.ENRR,2020,15.5519566247682
Cameroon,CMR,IP.JRN.ARTC.SC,2020,1137.44
Canada,CAN,GOV_WGI_CC_EST,2020,1.6422133
Canada,CAN,IT.NET.BBND.P2,2020,40.7949805592606
Canada,CAN,NY.GDP.PCAP.PP.CD,2020,48590.6832121939
Canada,CAN,TX.VAL.TECH.MF.ZS,2020,16.758708977524385
Canada,CAN,IT.CEL.SETS.P2,2020,84.7747749116615
Canada,CAN,GOV_WGI_PV_EST,2020,0.9455077
Canada,CAN,GOV_WGI_RL_EST,2020,1.5585901
Canada,CAN,SE.TER.ENRR,2020,75.2389068603516
Canada,CAN,IP.JRN.ARTC.SC,2020,64548.83
Cayman Islands,CYM,GOV_WGI_CC_EST,2020,0.6059907
Cayman Islands,CYM,IT.NET.BBND.P2,2020,46.5901811193291
