Country Code,Country Name,year,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS
BGD,Bangladesh,2024,-1.1021569,-1.46295089999999,-0.9600594,,108.077037369691,8.08931134401926,9646.769843832548,23.7295608009814,
BGD,Bangladesh,2025,,,,,,,,,
BGR,Bulgaria,2020,-0.258415699999999,0.4210468,-0.1505346,4475.96,114.596737765322,30.5042854761098,27351.86074486011,85.5331115722656,11.303272578422265
BGR,Bulgaria,2021,-0.2260611,0.4063981,-0.0377457,4748.48,114.911988483727,32.7688420838347,30959.111845980715,85.3017501831055,10.924473573821324
BGR,Bulgaria,2022,-0.1369351,0.3269733,-0.0998029,4858.97,116.679163253179,34.9667968772891,36320.14222951922,84.1293563842773,10.38267754185687
BGR,Bulgaria,2023,-0.1501295,0.3144686,-0.0265936,4998.4,117.932685806225,37.0235717545079,38829.19132081018,79.8532333374023,12.057894417322116
BGR,Bulgaria,2024,-0.240017999999999,0.0399268,-0.0333423,,118.067152838789,,41969.4515718999,69.5460433959961,13.4299683659831
BGR,Bulgaria,2025,,,,,,,,,
BHR,Bahrain,2020,-0.0925165999999999,-0.5964745,-0.110376599999999,563.68,119.41160169027,10.1824112975928,53436.03169997117,54.4077922369055,8.973661055879925
BHR,Bahrain,2021,0.210097,-0.5041164,0.0190676,665.36,128.078912532195,16.5057891919103,54954.67578955323,47.5015525503536,0.5905900434456504
BHR,Bahrain,2022,0.144834,-0.482549599999999,0.0328686,613.67,139.636142863944,18.0025680504011,61677.6538492695,50.3073760962771,0.5699591963159788
BHR,Bahrain,2023,0.2380412,-0.5007436,0.1259217,718.3,153.899937948583,17.1582362107608,64171.08573590521,57.0562240948353,0.3873436445173711
BHR,Bahrain,2024,0.2540662,-0.2758672,0.1679373,,159.536143577452,16.9915789748788,66941.24303679893,58.3677241853667,
BHR,Bahrain,2025,,,,,,,,,
BHS,"Bahamas, The",2020,1.2128533,0.7133519,0.3141962,21.42,117.717493173143,20.9668496424268,27204.625909517963,,3.0447626025239987
BHS,"Bahamas, The",2021,1.2282597,0.7434332,0.3484926,22.93,100.257333370336,20.7423310871326,31064.68221661941,,0.2611999658182343
BHS,"Bahamas, The",2022,1.2330855,0.8592816,0.272063,17.7,101.623744145214,21.135589553703,36791.40104609638,,0.0
