iso3,country_name,n_years,mean_raw_rank,sd_raw_rank,mean_percentile_rank,sd_percentile_rank,mean_score
NOR,Norway,4,12.25,0.957427107756338,0.9316458765518307,0.009458986900632429,74.514181555
NPL,Nepal,4,141.5,10.969655114602894,0.2158049464826589,0.014035434696194983,31.646106494999998
NRU,Nauru,1,79.0,,0.5906735751295337,,46.74580573
NZL,New Zealand,4,35.0,11.74734012447073,0.808725474898453,0.05157078964951998,65.01718883
OMN,Oman,4,49.0,2.9439202887759492,0.7270070306699572,0.029639503762827358,59.234021205000005
PAK,Pakistan,4,102.5,12.556538801224908,0.4259978838289833,0.1133572970782433,39.2302452275
PAN,Panama,4,85.75,2.872281323269013,0.5233404420529025,0.027461504547764786,43.19285238
PER,Peru,4,67.5,15.716233645501712,0.6186415886322815,0.12581332085404956,51.128282892499996
PHL,Philippines,4,61.5,7.937253933193772,0.6558118883427911,0.06883386927549848,53.276551732499996
PNG,Papua New Guinea,4,134.75,15.392097539538483,0.2542350866491539,0.045567470628841415,33.13859627
POL,Poland,4,34.75,0.9574271077563381,0.8065062837233707,0.017108821944844456,63.940095835
PRK,Democratic People's Republic of Korea,1,193.0,,0.0,,9.197129779
PRT,Portugal,4,27.25,3.862210075418823,0.8469492254854429,0.03570126675176188,67.9100144425
PRY,Paraguay,4,109.75,5.560275772537426,0.3907913975598273,0.019682252651921136,37.2996198775
PSE,State of Palestine,2,129.5,6.363961030678928,0.3204029324220042,0.020793819190994572,35.335951515000005
QAT,Qatar,4,32.0,4.320493798938574,0.8230566008273589,0.015667289176883835,65.34010788750001
ROU,Romania,4,59.0,3.464101615137754,0.6723602887838177,0.01763939080629159,54.2303925825
RUS,Russian Federation,4,38.75,0.9574271077563378,0.7842918811603489,0.01756091913294835,62.7645025875
RWA,Rwanda,4,91.75,14.840822079655828,0.4840152669152073,0.12988016111907325,43.0002750025
SAU,Saudi Arabia,4,31.0,7.2571803523590805,0.8261875106967684,0.04834613044279279,66.19462387
SDN,Sudan,4,168.25,12.038133853162904,0.06731992104490603,0.011233211276369824,24.4020601175
SEN,Senegal,4,99.5,15.154757228892407,0.4427810174309362,0.1177749895584377,39.8851903425
SGP,Singapore,4,2.0,0.0,0.9888623210175589,0.0009510761320599198,83.1983698275
SLB,Solomon Islands,3,151.0,10.535653752852738,0.19460393584233082,0.030477705310869997,30.791253493333333
SLE,Sierra Leone,4,163.75,14.63728116830445,0.0933060336702295,0.010811817173594328,26.01084681
SLV,El Salvador,4,136.25,9.776672917374972,0.24459143883184284,0.017391964437489783,32.507957680000004
SMR,San Marino,2,75.0,0.0,0.6062313967589019,0.007308043295804004,49.839004134999996
SOM,Somalia,2,178.5,6.363961030678928,0.06314077830448683,0.016019230904402614,23.64947844
SRB,Serbia,4,56.25,2.9860788111948193,0.6876262180612005,0.015478658196019424,55.748896762499996
SSD,South Sudan,3,184.33333333333334,7.023769168568492,0.016139862874280337,0.005870502594602114,18.764094733333334
STP,Sao Tome and Principe,3,162.0,7.211102550927978,0.13540956721001682,0.015066774585588843,28.03896620333333
SUR,Suriname,4,115.75,14.174507634012079,0.36019583708418124,0.03426844131382671,36.5206397225
SVK,Slovakia,4,47.0,11.51810169544733,0.739148614696157,0.0627233436213022,59.318464755
SVN,Slovenia,4,37.0,4.320493798938574,0.795212403371256,0.014889979086093618,63.7467965
SWE,Sweden,4,11.75,3.8622100754188224,0.9359174625925251,0.017756859851567598,74.7944567175
SWZ,Eswatini,4,151.5,16.010413278030438,0.15911132846403236,0.07860807524144475,29.62280879
SYC,Seychelles,4,90.75,17.38533865071371,0.5000215362873976,0.06355150105529715,42.5561398375
SYR,Syrian Arab Republic,3,186.0,6.0,0.007114835633684165,0.003056237916548508,17.03533797333333
TCD,Chad,4,171.5,11.561430130683084,0.04905090257124428,0.01476308298562123,22.669534979999998
TGO,Togo,4,145.5,16.743157806499152,0.19565894872616335,0.03115808610194867,30.8754721225
THA,Thailand,4,40.5,12.583057392117917,0.7705248061106031,0.09325015746867418,61.615202825000004
TJK,Tajikistan,4,112.25,13.744695946679455,0.3783380027328911,0.052518546503258434,37.45369236
TKM,Turkmenistan,3,143.0,13.228756555322953,0.2373828380285422,0.05344895579844194,31.918459109999997
TLS,Timor-Leste,3,146.66666666666666,10.016652800877813,0.2176755584601364,0.0287145487339797,31.436876206666668
TON,Tonga,3,107.0,11.532562594670797,0.429297684950299,0.05229272787623187,39.14726195
TTO,Trinidad and Tobago,4,102.5,8.698658900466592,0.4319745385695779,0.022233722114995812,39.1326106875
TUN,Tunisia,4,80.0,9.201449161228174,0.5557397118024109,0.04937834911678339,45.567930405
TUR,Turkey,4,50.5,2.9999999999999996,0.718148389569151,0.03666612951257705,58.898880840000004
TUV,Tuvalu,1,113.0,,0.4145077720207254,,37.45304448
TWN,Taiwan,4,16.75,2.217355782608345,0.906649988717003,0.015456462520058441,72.39943072999999
TZA,United Republic of Tanzania,4,130.5,8.850612031567834,0.2759840008700546,0.029390833244643616,33.28329765
UGA,Uganda,4,131.25,7.5,0.2700635412790198,0.060222267953564355,33.1213518525
UKR,Ukraine,4,59.5,4.123105625617661,0.6675983539310205,0.04855794959603515,54.3080592925
URY,Uruguay,4,48.0,2.160246899469288,0.7324725188217445,0.02837993609820892,59.7386503975
USA,United States of America,4,1.0,0.0,0.9944311605087794,0.00047553806602993,86.42732566500001
UZB,Uzbekistan,4,82.25,9.979144919948467,0.539792070999439,0.08760629675734212,45.4702756725
VCT,Saint Vincent and the Grenadines,3,127.33333333333333,6.429100507328638,0.3204379284924962,0.02024723123401604,34.83186601333333
VEN,Venezuela,4,150.75,13.07351011269226,0.1648724575951167,0.0236511462331087,29.5675996475
VNM,Viet Nam,4,56.75,4.78713553878169,0.6829141297687793,0.04953455698706704,55.4189415275
VUT,Vanuatu,3,131.0,14.106735979665885,0.3006860346442318,0.07149146147579086,34.01910679333333
WSM,Samoa,3,138.66666666666666,10.40832999733066,0.2594265557593229,0.05747683505660434,32.97830130333333
YEM,Yemen,4,178.75,13.200378782444089,0.009239114877050342,0.01227206010342253,17.4402237575
ZAF,South Africa,4,71.25,4.272001872658765,0.6043417345727475,0.02184293651795925,49.0428271225
ZMB,Zambia,4,130.5,21.07921567168317,0.27231815741044707,0.13596498400348608,33.769887725000004
ZWE,Zimbabwe,4,149.25,4.27200187265877,0.17019702153240457,0.04978862764262152,30.4284826675
