Country Name,Country Code,Indicator Code,2020,2021,2022,2023,2024,2025
Latin America & the Caribbean (IDA & IBRD countries),TLA,IP.JRN.ARTC.SC,123010.90999999996,129660.09999999996,121499.00999999998,116464.03999999998,,
Least developed countries: UN classification,LDC,GOV_WGI_CC_EST,,,,,,
Least developed countries: UN classification,LDC,IT.NET.BBND.P2,1.31,1.43,1.67,1.9,1.95,2.04
Least developed countries: UN classification,LDC,NY.GDP.PCAP.PP.CD,3495.210939859104,3724.9526229292696,4096.338282812355,4286.72070784438,4463.995642252434,
Least developed countries: UN classification,LDC,TX.VAL.TECH.MF.ZS,5.823772810930142,5.4900551805065945,7.538108707536384,7.933617806335894,,
Least developed countries: UN classification,LDC,IT.CEL.SETS.P2,75.0,77.4,78.7,82.2,83.9,86.3
Least developed countries: UN classification,LDC,GOV_WGI_PV_EST,,,,,,
Least developed countries: UN classification,LDC,GOV_WGI_RL_EST,,,,,,
Least developed countries: UN classification,LDC,SE.TER.ENRR,10.5179395675659,10.6617698669434,10.8424100875854,11.1316499710083,11.0492496490478,
Least developed countries: UN classification,LDC,IP.JRN.ARTC.SC,17150.489999999998,22284.330000000005,24011.54000000001,25410.94,,
Low & middle income,LMY,GOV_WGI_CC_EST,,,,,,
Low & middle income,LMY,IT.NET.BBND.P2,11.769610563536189,12.937022474008629,14.5372793849357,,,
Low & middle income,LMY,NY.GDP.PCAP.PP.CD,11167.79990003806,12435.866840096563,13817.13920070645,14898.64856699542,15795.130323327552,
Low & middle income,LMY,TX.VAL.TECH.MF.ZS,24.25481537475338,22.61104114308649,22.086133595161357,21.88133922023892,21.945466175656215,
Low & middle income,LMY,IT.CEL.SETS.P2,101.29666369988117,103.02353526587729,104.40155900356824,,,
Low & middle income,LMY,GOV_WGI_PV_EST,,,,,,
Low & middle income,LMY,GOV_WGI_RL_EST,,,,,,
Low & middle income,LMY,SE.TER.ENRR,34.3418502807617,35.8265914916992,37.0190887451172,38.2484283447266,38.7901611328125,
Low & middle income,LMY,IP.JRN.ARTC.SC,1237541.1499999997,1394143.6299999997,1566489.5599999994,1659400.2700000005,,
Low income,LIC,GOV_WGI_CC_EST,,,,,,
Low income,LIC,IT.NET.BBND.P2,0.48,0.46,0.48,0.5,0.53,0.57
Low income,LIC,NY.GDP.PCAP.PP.CD,1988.6079811789837,2114.520909369547,2276.1951827715125,2289.5162064522788,2353.04878368784,
Low income,LIC,TX.VAL.TECH.MF.ZS,3.6639670220070215,4.113077338547098,2.8468953981586265,2.07999618814634,,
Low income,LIC,IT.CEL.SETS.P2,58.0,60.2,62.5,65.2,67.0,69.3
Low income,LIC,GOV_WGI_PV_EST,,,,,,
Low income,LIC,GOV_WGI_RL_EST,,,,,,
Low income,LIC,SE.TER.ENRR,9.19797039031982,9.28015041351318,,,,
Low income,LIC,IP.JRN.ARTC.SC,8434.36,10885.64,12590.65,12772.870000000004,,
Lower middle income,LMC,GOV_WGI_CC_EST,,,,,,
Lower middle income,LMC,IT.NET.BBND.P2,2.97,3.47,3.87,4.23,4.61,5.05
